	station	noise_avg	throut_tot	cluster	lable
92	L5GEAE	-117.81981	8.417539999999999	2	低话务量小区
93	L5GEAF	-117.74168	0.16758	0	高话务量小区
94	L5GEB0	-118.10625999999999	0.8449200000000001	0	高话务量小区
95	L5GEB2	-118.08126	3.06938	1	普通话务量小区
96	L5GEBF	-114.29584	0.77942	1	普通话务量小区
97	L5GEC2	-118.32708000000002	0.02676	0	高话务量小区
98	L5GED5	-109.00001999999999	5.164600000000001	2	低话务量小区
99	L5GED6	-117.7021	8.440940000000001	2	低话务量小区
100	L5GED7	-117.49376	10.65634	2	低话务量小区
101	L5GED8	-117.14376	5.34298	2	低话务量小区
102	L5GEF3	-117.30626	5.34004	2	低话务量小区
103	L5GEF4	-118.67916	0.42357999999999996	0	高话务量小区
104	L5GEF7	-118.82503999999999	0.332	0	高话务量小区
105	L5GEFA	-118.1646	0.49241999999999997	0	高话务量小区
106	L5GEFC	-117.71458	0.8000599999999999	0	高话务量小区
107	L5GEFD	-117.90624	5.568379999999999	2	低话务量小区
108	L5GEFE	-117.9	9.179359999999999	2	低话务量小区
109	L5GEFF	-118.02083999999999	5.12988	2	低话务量小区
110	L5GF00	-117.74374	5.32916	2	低话务量小区
111	L5GF02	-117.55106999999998	4.72346	2	低话务量小区
112	L5GF03	-117.54375999999999	6.033779999999999	2	低话务量小区
113	L5GF04	-117.4396	12.50866	2	低话务量小区
114	L5GF05	-117.88542	7.90142	2	低话务量小区
115	L5GF06	-117.89376	3.6138000000000003	1	普通话务量小区
116	L5GF07	-117.49792	0.036610000000000004	0	高话务量小区
117	L5H605	-58.80834	1.5151199999999998	1	普通话务量小区
118	L5IC35	-118.0	0.03822	0	高话务量小区
119	L5IC37	-117.625	0.027839999999999997	0	高话务量小区
120	L5ID2F	-115.99376	0.90022	1	普通话务量小区
121	LE5G26B	-117.30626	12.668779999999998	2	低话务量小区
122	LF57E5D	-110.04132333333337	6.199066666666667	2	低话务量小区
123	LF57E60	-115.22153333333337	1.9858733333333332	1	普通话务量小区
