	station	throut_tot	noise_avg	cluster	lable
33	L57ED7	6.577869999999999	-114.06250666666665	2	低话务量小区
34	L57EE0	4.252086666666667	-114.01459000000001	1	普通话务量小区
35	L57EE1	1.442073333333333	-112.3139066666667	1	普通话务量小区
36	L57EE2	2.7102699999999995	-114.20660333333332	1	普通话务量小区
37	L57EE6	1.1590333333333336	-112.25521666666667	1	普通话务量小区
38	L57EE8	1.7650900000000003	-115.59132666666669	1	普通话务量小区
39	L57EEA	5.59768	-115.53541666666666	2	低话务量小区
40	L57EF0	3.804923333333333	-115.43264666666667	1	普通话务量小区
41	L57EF3	2.483346666666667	-115.36598333333336	1	普通话务量小区
42	L57EF6	7.503453333333334	-113.83368333333335	2	低话务量小区
43	L57EFD	2.5575866666666665	-113.66771666666666	1	普通话务量小区
44	L57F00	5.238006666666667	-113.25730666666666	2	低话务量小区
45	L57F16	5.744016666666667	-112.66632666666669	2	低话务量小区
46	L59B21	0.0	0.0	1	普通话务量小区
47	L59D95	3.596816666666667	-113.92569999999999	1	普通话务量小区
48	L59DA5	1.1152933333333335	-106.34133	1	普通话务量小区
49	L59E51	4.398349999999999	-113.67917666666666	1	普通话务量小区
50	L5G0BE	4.17492	-117.41042	1	普通话务量小区
51	L5G0F3	10.41286	-117.07293	2	低话务量小区
52	L5G172	0.0	0.0	1	普通话务量小区
53	L5G24C	0.37966	-117.68751999999999	0	高话务量小区
54	L5G250	3.66652	-117.3771	1	普通话务量小区
55	L5G25E	7.336510000000001	-117.75417999999999	2	低话务量小区
56	L5G274	0.9137599999999999	-117.8521	0	高话务量小区
57	L5G275	1.5787799999999999	-117.9	1	普通话务量小区
58	L5G276	2.1246	-117.34585999999999	1	普通话务量小区
59	L5G277	0.09028	-118.41042	0	高话务量小区
60	L5G28D	0.783	-118.01876	0	高话务量小区
61	L5G2AA	0.12556	-118.55418	0	高话务量小区
62	L5GDCF	4.46798	-118.40835999999999	1	普通话务量小区
63	L5GDD1	1.0518399999999999	-118.03126	1	普通话务量小区
64	L5GDD3	1.66002	-117.86252000000002	1	普通话务量小区
65	L5GDE0	0.27030000000000004	-118.30836	0	高话务量小区
66	L5GDE1	0.0423	-118.9125	0	高话务量小区
67	L5GDE4	0.04597	-117.98958999999999	0	高话务量小区
68	L5GDEE	1.0004000000000002	-117.91458	0	高话务量小区
69	L5GDF9	2.68726	-113.64166	1	普通话务量小区
70	L5GE04	0.0	0.0	1	普通话务量小区
71	L5GE07	0.27624	-117.51668	0	高话务量小区
72	L5GE2B	0.4013	-110.49168	1	普通话务量小区
73	L5GE32	0.10606	-118.94998000000001	0	高话务量小区
74	L5GE33	0.031259999999999996	-118.89376	0	高话务量小区
75	L5GE44	0.61018	-118.34584	0	高话务量小区
76	L5GE45	0.179	-118.18754000000001	0	高话务量小区
77	L5GE46	0.42286	-118.70626	0	高话务量小区
78	L5GE47	2.7038599999999997	-118.7875	1	普通话务量小区
79	L5GE48	1.92782	-118.08958	1	普通话务量小区
80	L5GE51	0.7008800000000001	-117.99792	0	高话务量小区
81	L5GE52	1.7298200000000001	-117.9521	1	普通话务量小区
82	L5GE53	0.11814	-118.96668	0	高话务量小区
83	L5GE56	0.78032	-118.14583999999999	0	高话务量小区
84	L5GE57	0.13823999999999997	-118.9521	0	高话务量小区
85	L5GE58	24.51318	-117.99584	2	低话务量小区
86	L5GE59	0.92736	-117.975	0	高话务量小区
87	L5GE5D	0.65672	-117.325	0	高话务量小区
88	L5GE5F	3.7253	-118.11668	1	普通话务量小区
89	L5GE84	0.20268000000000003	-118.63126	0	高话务量小区
90	L5GEA7	0.18836	-118.41458	0	高话务量小区
91	L5GEAD	1.23312	-117.54585999999999	1	普通话务量小区
92	L5GEAE	8.417539999999999	-117.81981	2	低话务量小区
93	L5GEAF	0.16758	-117.74168	0	高话务量小区
94	L5GEB0	0.8449200000000001	-118.10625999999999	0	高话务量小区
95	L5GEB2	3.06938	-118.08126	1	普通话务量小区
96	L5GEBF	0.77942	-114.29584	1	普通话务量小区
97	L5GEC2	0.02676	-118.32708000000002	0	高话务量小区
98	L5GED5	5.164600000000001	-109.00001999999999	2	低话务量小区
99	L5GED6	8.440940000000001	-117.7021	2	低话务量小区
100	L5GED7	10.65634	-117.49376	2	低话务量小区
101	L5GED8	5.34298	-117.14376	2	低话务量小区
102	L5GEF3	5.34004	-117.30626	2	低话务量小区
103	L5GEF4	0.42357999999999996	-118.67916	0	高话务量小区
104	L5GEF7	0.332	-118.82503999999999	0	高话务量小区
105	L5GEFA	0.49241999999999997	-118.1646	0	高话务量小区
106	L5GEFC	0.8000599999999999	-117.71458	0	高话务量小区
107	L5GEFD	5.568379999999999	-117.90624	2	低话务量小区
108	L5GEFE	9.179359999999999	-117.9	2	低话务量小区
109	L5GEFF	5.12988	-118.02083999999999	2	低话务量小区
110	L5GF00	5.32916	-117.74374	2	低话务量小区
111	L5GF02	4.72346	-117.55106999999998	2	低话务量小区
112	L5GF03	6.033779999999999	-117.54375999999999	2	低话务量小区
113	L5GF04	12.50866	-117.4396	2	低话务量小区
114	L5GF05	7.90142	-117.88542	2	低话务量小区
115	L5GF06	3.6138000000000003	-117.89376	1	普通话务量小区
116	L5GF07	0.036610000000000004	-117.49792	0	高话务量小区
117	L5H605	1.5151199999999998	-58.80834	1	普通话务量小区
118	L5IC35	0.03822	-118.0	0	高话务量小区
119	L5IC37	0.027839999999999997	-117.625	0	高话务量小区
120	L5ID2F	0.90022	-115.99376	1	普通话务量小区
121	LE5G26B	12.668779999999998	-117.30626	2	低话务量小区
122	LF57E5D	6.199066666666667	-110.04132333333337	2	低话务量小区
123	LF57E60	1.9858733333333332	-115.22153333333337	1	普通话务量小区
